dummy;counter_type;hadoop_job_id;counter_name;start_time;counter_group;counter_desc;counter_val;hadoop_task_id;general_info;hdfsPath;hadoopLogPath
junk;JOB_INFO;job_201407220146_0010;MAP_OUTPUT_RECORDS;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Map output records;311;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;MAP_OUTPUT_BYTES;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Map output bytes;4011;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;SPLIT_RAW_BYTES;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Input split bytes;222;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;COMBINE_INPUT_RECORDS;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Combine input records;0;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;COMBINE_OUTPUT_RECORDS;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Combine output records;0;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;REDUCE_INPUT_GROUPS;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Reduce input groups;160;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;REDUCE_SHUFFLE_BYTES;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Reduce shuffle bytes;4657;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;REDUCE_INPUT_RECORDS;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Reduce input records;311;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;REDUCE_OUTPUT_RECORDS;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Reduce output records;160;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
junk;JOB_INFO;job_201407220146_0010;SPILLED_RECORDS;1406024986641;org.apache.hadoop.mapreduce.TaskCounter;Spilled Records;622;job_201407220146_0010;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0010;hdfs://localhost:50030/logs/userlogs/job_201407220146_0010/TASK/stdout
