dummy;counter_type;hadoop_job_id;counter_name;start_time;counter_group;counter_desc;counter_val;hadoop_task_id;general_info;hdfsPath;hadoopLogPath
junk;JOB_INFO;job_201407220146_0008;FILE_BYTES_READ;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of bytes read;4645;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;FILE_BYTES_WRITTEN;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of bytes written;1259000;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;FILE_READ_OPS;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of read operations;0;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;FILE_LARGE_READ_OPS;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of large read operations;0;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;FILE_WRITE_OPS;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;FILE: Number of write operations;0;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;HDFS_BYTES_READ;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of bytes read;1804;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;HDFS_BYTES_WRITTEN;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of bytes written;102077;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;HDFS_READ_OPS;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of read operations;492;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;HDFS_LARGE_READ_OPS;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of large read operations;0;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
junk;JOB_INFO;job_201407220146_0008;HDFS_WRITE_OPS;1406023960194;org.apache.hadoop.mapreduce.FileSystemCounter;HDFS: Number of write operations;170;job_201407220146_0008;;hdfs://localhost:8020/pdi_hadoop_metrics/metrics/job_201407220146_0008;hdfs://localhost:50030/logs/userlogs/job_201407220146_0008/TASK/stdout
